model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
motus,V-B14,100,0.4714740216732025,0.008650525473058224,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B21,0,0.45392656326293945,0.00775002921000123,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B21,25,0.4476531445980072,0.007433649618178606,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B21,50,0.4466189444065094,0.00708902720361948,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B21,75,0.4360423684120178,0.005936211906373501,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B21,100,0.42397573590278625,0.004941216204315424,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B29,0,0.4202408194541931,0.0035234203096479177,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B29,25,0.4239027798175812,0.00414445111528039,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B29,50,0.4187805652618408,0.004460522904992104,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B29,75,0.42064911127090454,0.005165443290024996,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B29,100,0.40468037128448486,0.006328220013529062,500,500,0.012378301471471786,0.0017764515065016094
motus,V-Norm,0,0.42500200867652893,0.0018905493197962642,500,500,0.012378301471471786,0.0017764515065016094
motus,V-Norm,25,0.42116743326187134,0.002415501279756427,500,500,0.012378301471471786,0.0017764515065016094
motus,V-Norm,50,0.4207240641117096,0.0031732579227536917,500,500,0.012378301471471786,0.0017764515065016094
motus,V-Norm,75,0.4177183210849762,0.005384667310863733,500,500,0.012378301471471786,0.0017764515065016094
motus,V-Norm,100,0.40182170271873474,0.0076034837402403355,500,500,0.012378301471471786,0.0017764515065016094
motus,T-D1,0,0.32524630427360535,0.3684108555316925,500,500,0.012378301471471786,0.0017764515065016094
motus,T-D1,25,0.32524630427360535,0.3684108555316925,500,500,0.012378301471471786,0.0017764515065016094
motus,T-D1,50,0.32524630427360535,0.3684108555316925,500,500,0.012378301471471786,0.0017764515065016094
