model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.027686,0.0247
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.031054,0.027183
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.037685,0.032233
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049794,0.039883
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.062238,0.04705
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.073959,0.0538
vjepa2-vitg-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.086057,0.061217
vjepa2-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02116,0.020483
vjepa2-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.02108,0.020717
vjepa2-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.022264,0.02155
vjepa2-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.025006,0.0233
